genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
ALL_dreped_coassembly_treat_CR_bin.129	2618	2410	506	genus	0.77	0.71	0.32	0.16	0.4	0.73	0.52	True
ALL_dreped_coassembly_treat_CR_bin.133	3716	3520	85	class	0.96	0.91	0.08	0.05	0.11	0.67	0.6	True
ALL_dreped_coassembly_treat_CR_bin.17	3011	2833	712	genus	0.76	0.71	0.27	0.42	1.79	0.69	0.49	True
ALL_dreped_coassembly_treat_CR_bin.18	3431	3225	234	genus	0.78	0.73	0.12	0.69	4.83	0.68	0.5	True
ALL_dreped_coassembly_treat_CR_bin.21	3096	2882	655	class	0.96	0.89	0.3	0.38	0.9	0.76	0.68	True
ALL_dreped_coassembly_treat_CR_bin.23	2427	2269	198	genus	0.78	0.72	0.22	0.14	0.33	0.74	0.54	True
ALL_dreped_coassembly_treat_CR_bin.27	3409	3133	382	genus	0.73	0.67	0.17	0.61	3.42	0.67	0.45	True
ALL_dreped_coassembly_treat_CR_bin.46	2494	2432	270	order	0.96	0.93	0.67	0.03	0.07	0.94	0.88	False
ALL_dreped_coassembly_treat_CR_bin.55	2521	2366	146	genus	0.78	0.74	0.14	0.51	2.05	0.68	0.5	True
ALL_dreped_coassembly_treat_CR_bin.79	3166	3014	146	genus	0.8	0.76	0.1	0.31	0.97	0.74	0.56	True
ALL_dreped_coassembly_treat_HR_bin.13	3650	3189	521	genus	0.63	0.55	0.34	0.56	2.98	0.66	0.36	True
ALL_dreped_coassembly_treat_HR_bin.138	2603	2427	160	family	0.93	0.87	0.11	0.65	3.13	0.7	0.61	True
ALL_dreped_coassembly_treat_HR_bin.25	3244	3103	598	genus	0.76	0.73	0.19	0.73	4.38	0.73	0.53	True
ALL_dreped_coassembly_treat_HR_bin.4	3768	3571	288	genus	0.82	0.78	0.16	0.4	1.49	0.78	0.6	True
ALL_dreped_coassembly_treat_HR_bin.41	3739	3452	129	family	0.91	0.84	0.07	0.48	1.73	0.67	0.56	True
ALL_dreped_coassembly_treat_HR_bin.52	3145	2758	879	genus	0.71	0.62	0.33	0.59	3.71	0.65	0.41	True
ALL_dreped_coassembly_treat_HR_bin.59	3925	3668	765	genus	0.84	0.78	0.14	0.55	2.97	0.68	0.53	True
ALL_dreped_coassembly_treat_HR_bin.78	3632	3251	149	genus	0.75	0.68	0.08	0.64	3.8	0.62	0.42	True
ALL_dreped_coassembly_treat_HR_bin.85	2151	1971	56	class	0.95	0.87	0.06	0.05	0.11	0.67	0.58	True
ALL_dreped_coassembly_treat_HT_bin.1	1906	1648	279	order	0.83	0.72	0.15	0.39	1.31	0.53	0.38	True
ALL_dreped_coassembly_treat_HT_bin.109	2037	1859	28	family	0.8	0.73	0.03	0.84	8.38	0.56	0.41	True
ALL_dreped_coassembly_treat_HT_bin.114	2482	2375	54	family	0.94	0.9	0.08	0.22	0.55	0.94	0.85	True
ALL_dreped_coassembly_treat_HT_bin.12	3837	3690	362	genus	0.81	0.78	0.24	0.37	1.27	0.79	0.61	True
ALL_dreped_coassembly_treat_HT_bin.132	1965	1764	470	genus	0.67	0.6	0.17	0.68	4.93	0.6	0.36	True
ALL_dreped_coassembly_treat_HT_bin.133	3297	3115	57	class	0.97	0.92	0.09	0.36	0.9	0.65	0.6	True
ALL_dreped_coassembly_treat_HT_bin.27	2497	2391	61	genus	0.95	0.91	0.32	0.06	0.12	0.88	0.79	True
ALL_dreped_coassembly_treat_HT_bin.3	2447	2069	275	family	0.83	0.71	0.19	0.03	0.06	0.71	0.5	True
ALL_dreped_coassembly_treat_HT_bin.33	2180	2075	462	genus	0.85	0.81	0.4	0.1	0.23	0.75	0.61	True
ALL_dreped_coassembly_treat_HT_bin.52	1378	1152	231	phylum	0.97	0.81	0.06	0.39	0.9	0.56	0.46	True
ALL_dreped_coassembly_treat_HT_bin.57	3595	3400	523	class	0.96	0.9	0.23	0.03	0.06	0.67	0.61	True
ALL_dreped_coassembly_treat_HT_bin.77	1582	1431	78	kingdom	1.0	0.9	0.0	0.0	0.0	0.64	0.57	True
ALL_dreped_coassembly_treat_HT_bin.8	2180	1826	337	family	0.85	0.72	0.3	0.05	0.1	0.63	0.45	True
ALL_dreped_coassembly_treat_HT_bin.87	1443	1207	259	order	0.94	0.79	0.11	0.62	2.47	0.57	0.45	True
ALL_dreped_coassembly_treat_HT_bin.96	1713	1568	111	genus	0.52	0.48	0.11	0.59	2.93	0.58	0.28	True
ALL_dreped_coassembly_treat_OP_bin.110	2965	2779	256	class	0.95	0.89	0.25	0.4	0.92	0.75	0.67	True
ALL_dreped_coassembly_treat_OP_bin.116	2760	2706	517	genus	0.94	0.92	0.39	0.03	0.05	0.97	0.89	True
ALL_dreped_coassembly_treat_OP_bin.2	2813	2490	654	genus	0.75	0.66	0.22	0.56	2.69	0.71	0.47	True
ALL_dreped_coassembly_treat_OP_bin.44	2853	2762	267	family	0.94	0.91	0.56	0.03	0.06	0.96	0.87	False
ALL_dreped_coassembly_treat_OP_bin.53	2029	1717	77	order	0.83	0.71	0.09	0.49	1.6	0.52	0.37	True
ALL_dreped_coassembly_treat_OP_bin.55	2077	1944	34	family	0.94	0.88	0.05	0.37	0.98	0.68	0.59	True
ALL_dreped_coassembly_treat_OP_bin.57	2442	2230	320	order	0.95	0.87	0.2	0.15	0.33	0.72	0.62	True
ALL_dreped_coassembly_treat_OP_bin.6	2119	1812	537	genus	0.7	0.6	0.1	0.61	3.06	0.64	0.38	True
ALL_dreped_coassembly_treat_OP_bin.64	3776	3534	121	genus	0.73	0.69	0.09	0.42	1.69	0.69	0.47	True
ALL_dreped_coassembly_treat_OP_bin.75	2708	2504	344	class	0.96	0.89	0.24	0.07	0.14	0.71	0.63	True
ALL_dreped_coassembly_treat_OP_bin.76	4373	4010	244	class	0.94	0.86	0.13	0.03	0.07	0.66	0.57	True
ALL_dreped_coassembly_treat_OP_bin.83	3652	3408	108	genus	0.73	0.68	0.1	0.41	1.67	0.7	0.47	True
ALL_dreped_coassembly_treat_OP_bin.86	4018	3726	877	genus	0.77	0.71	0.21	0.37	1.34	0.71	0.51	True
ALL_dreped_coassembly_treat_OP_bin.96	2385	2235	565	class	0.97	0.91	0.26	0.33	0.8	0.77	0.7	True
ALL_dreped_cobinning_cage_treat_C03M2CD_subsam_contigs.fasta_bin.13	4033	3899	110	kingdom	1.0	0.97	0.0	0.0	0.0	0.91	0.88	True
ALL_dreped_cobinning_cage_treat_C03M2CD_subsam_contigs.fasta_bin.19	2437	2310	251	class	0.98	0.93	0.2	0.33	0.8	0.78	0.72	True
ALL_dreped_cobinning_cage_treat_C03M2HR_subsam_contigs.fasta_bin.28	2049	1999	79	genus	0.97	0.95	0.49	0.03	0.06	0.96	0.91	False
ALL_dreped_cobinning_cage_treat_C03M3CD_subsam_contigs.fasta_bin.22	2025	1892	118	family	0.93	0.87	0.09	0.12	0.27	0.67	0.58	True
ALL_dreped_cobinning_cage_treat_C05M1CD_subsam_contigs.fasta_bin.23	3516	3299	120	order	0.94	0.88	0.08	0.04	0.08	0.68	0.6	True
ALL_dreped_cobinning_cage_treat_C05M1CR_subsam_contigs.fasta_bin.19	2456	2324	480	genus	0.81	0.77	0.34	0.1	0.23	0.76	0.59	True
ALL_dreped_cobinning_cage_treat_C05M1CR_subsam_contigs.fasta_bin.5	4577	4451	129	genus	0.92	0.9	0.17	0.06	0.13	0.96	0.86	True
ALL_dreped_cobinning_cage_treat_C05M3CR_subsam_contigs.fasta_bin.22	3663	3397	1092	class	0.95	0.88	0.27	0.05	0.1	0.68	0.6	True
ALL_dreped_cobinning_cage_treat_C05M5CR_subsam_contigs.fasta_bin.25	1726	1434	26	class	0.88	0.73	0.07	0.45	1.38	0.51	0.38	True
ALL_dreped_cobinning_cage_treat_C05M5OP_subsam_contigs.fasta_bin.23	2800	2583	39	family	0.95	0.88	0.07	0.11	0.25	0.78	0.69	True
ALL_dreped_cobinning_cage_treat_C06M3CR_subsam_contigs.fasta_bin.20	2166	2043	554	class	0.98	0.92	0.38	0.36	0.85	0.78	0.72	True
ALL_dreped_cobinning_cage_treat_C06M5HR_subsam_contigs.fasta_bin.15	2085	1925	100	family	0.93	0.85	0.13	0.19	0.49	0.65	0.56	True
ALL_dreped_cobinning_cage_treat_C10F1CD_subsam_contigs.fasta_bin.7	3693	3490	132	genus	0.82	0.78	0.12	0.26	0.72	0.77	0.59	True
ALL_dreped_cobinning_cage_treat_C10F1CR_subsam_contigs.fasta_bin.11	2262	2130	550	class	0.98	0.92	0.31	0.32	0.76	0.78	0.72	True
ALL_dreped_cobinning_cage_treat_C10F1CR_subsam_contigs.fasta_bin.29	3331	3128	200	genus	0.79	0.75	0.34	0.24	0.69	0.75	0.56	True
ALL_dreped_cobinning_cage_treat_C10F4CD_subsam_contigs.fasta_bin.11	2265	2131	525	order	0.98	0.92	0.34	0.33	0.8	0.79	0.72	True
ALL_dreped_cobinning_cage_treat_C10F4CR_subsam_contigs.fasta_bin.13	2232	2101	550	order	0.98	0.92	0.31	0.32	0.78	0.78	0.72	True
ALL_dreped_cobinning_cage_treat_C11F2CR_subsam_contigs.fasta_bin.10	4628	4292	202	family	0.92	0.85	0.11	0.16	0.39	0.71	0.6	True
ALL_dreped_cobinning_cage_treat_C11F2CR_subsam_contigs.fasta_bin.19	3714	3534	103	genus	0.76	0.72	0.12	0.34	1.11	0.73	0.52	True
ALL_dreped_cobinning_cage_treat_C11F4HT_subsam_contigs.fasta_bin.7	4032	3647	1160	order	0.95	0.86	0.38	0.24	0.58	0.68	0.58	True
ALL_dreped_cobinning_cage_treat_C12F2OP_subsam_contigs.fasta_bin.4	2351	2223	625	class	0.98	0.92	0.39	0.36	0.85	0.78	0.72	True
ALL_dreped_cobinning_cage_treat_C12F3HR_subsam_contigs.fasta_bin.24	3688	3446	103	genus	0.78	0.73	0.09	0.29	0.84	0.74	0.54	True
ALL_dreped_cobinning_cage_treat_C12F3OP_subsam_contigs.fasta_bin.21	3498	3309	126	genus	0.82	0.78	0.13	0.21	0.56	0.76	0.59	True
ALL_dreped_cobinning_cage_treat_C12F4CD_subsam_contigs.fasta_bin.15	4163	3943	129	genus	0.82	0.78	0.13	0.14	0.34	0.76	0.59	True
ALL_dreped_cobinning_cage_treat_C12F5HT_subsam_contigs.fasta_bin.15	1944	1881	45	kingdom	1.0	0.97	0.0	0.0	0.0	0.92	0.89	True
ALL_dreped_cobinning_cage_treat_C12F5OP_subsam_contigs.fasta_bin.8	4164	3768	318	genus	0.74	0.67	0.18	0.61	3.47	0.72	0.48	True
ALL_dreped_cobinning_long_C03M1CR_subsam_contigs.fasta_bin.22	3416	3147	885	class	0.97	0.89	0.49	0.5	1.0	0.76	0.68	False
ALL_dreped_cobinning_long_C03M1CR_subsam_contigs.fasta_bin.5	2489	2347	504	class	0.98	0.92	0.28	0.34	0.82	0.78	0.71	True
ALL_dreped_cobinning_long_C03M2HR_subsam_contigs.fasta_bin.27	3077	2870	252	class	0.94	0.88	0.12	0.16	0.37	0.66	0.57	True
ALL_dreped_cobinning_long_C03M3HT_subsam_contigs.fasta_bin.8	2699	2536	152	class	0.97	0.91	0.13	0.36	0.86	0.77	0.69	True
ALL_dreped_cobinning_long_C03M4HT_subsam_contigs.fasta_bin.12	2840	2523	334	genus	0.46	0.41	0.15	0.82	7.19	0.57	0.23	True
ALL_dreped_cobinning_long_C05M1CR_subsam_contigs.fasta_bin.2	2280	2159	384	class	0.98	0.93	0.23	0.31	0.75	0.78	0.72	True
ALL_dreped_cobinning_long_C05M5CR_subsam_contigs.fasta_bin.12	2524	2351	206	class	0.96	0.89	0.16	0.34	0.82	0.77	0.68	True
ALL_dreped_cobinning_long_C06M1CD_subsam_contigs.fasta_bin.10	4500	4133	269	genus	0.72	0.66	0.14	0.43	1.83	0.7	0.46	True
ALL_dreped_cobinning_long_C10F1CD_subsam_contigs.fasta_bin.13	4927	4608	131	class	0.97	0.91	0.12	0.26	0.67	0.66	0.6	True
ALL_dreped_cobinning_long_C10F2HR_subsam_contigs.fasta_bin.20	2583	2407	637	class	0.97	0.9	0.26	0.35	0.84	0.77	0.7	True
ALL_dreped_cobinning_long_C10F2HT_subsam_contigs.fasta_bin.10	1618	1341	12	phylum	0.93	0.77	0.02	0.29	0.7	0.51	0.39	True
ALL_dreped_cobinning_long_C10F4OP_subsam_contigs.fasta_bin.22	2503	2446	688	genus	0.94	0.92	0.84	0.05	0.1	0.97	0.9	False
ALL_dreped_cobinning_long_C10F5CD_subsam_contigs.fasta_bin.10	2757	2592	343	family	0.92	0.86	0.29	0.24	0.68	0.74	0.64	True
ALL_dreped_cobinning_long_C11F3HR_subsam_contigs.fasta_bin.6	2266	2178	312	order	0.98	0.94	0.26	0.27	0.65	0.79	0.74	True
ALL_dreped_cobinning_long_C11F5HT_subsam_contigs.fasta_bin.4	3021	2782	223	genus	0.71	0.65	0.15	0.61	3.41	0.65	0.43	True
ALL_dreped_cobinning_long_C11F5OP_subsam_contigs.fasta_bin.6	2557	2393	23	genus	0.92	0.86	0.05	0.11	0.25	0.72	0.62	True
ALL_dreped_cobinning_long_C12F3HR_subsam_contigs.fasta_bin.23	3367	3134	907	order	0.96	0.89	0.41	0.43	0.96	0.77	0.68	True
ALL_dreped_cobinning_long_C12F3HT_subsam_contigs.fasta_bin.16	2972	2810	629	order	0.97	0.92	0.41	0.39	0.91	0.77	0.7	True
ALL_dreped_cobinning_treat_C03M1CD_subsam_contigs.fasta_bin.7	2426	2262	545	class	0.97	0.9	0.27	0.34	0.82	0.77	0.7	True
ALL_dreped_cobinning_treat_C05M1OP_subsam_contigs.fasta_bin.27	2434	2300	440	class	0.97	0.92	0.31	0.33	0.79	0.78	0.71	True
ALL_dreped_cobinning_treat_C10F1CR_subsam_contigs.fasta_bin.23	3281	3016	757	class	0.96	0.88	0.41	0.48	1.0	0.76	0.67	True
ALL_dreped_cobinning_treat_C10F1HT_subsam_contigs.fasta_bin.19	2236	2076	82	family	0.95	0.88	0.13	0.2	0.52	0.69	0.6	True
ALL_dreped_cobinning_treat_C11F1OP_subsam_contigs.fasta_bin.24	2197	2093	524	class	0.98	0.93	0.28	0.31	0.75	0.78	0.73	True
ALL_dreped_cobinning_treat_C11F1OP_subsam_contigs.fasta_bin.25	4989	4845	164	genus	0.87	0.84	0.19	0.17	0.38	0.95	0.8	True
ALL_dreped_individual_C03M3HT_subsam_bin.8	4021	3772	255	genus	0.73	0.69	0.09	0.63	3.49	0.67	0.46	True
ALL_dreped_individual_C05M1CR_subsam_bin.1	2139	1980	53	family	0.94	0.87	0.02	0.25	0.67	0.65	0.56	True
ALL_dreped_individual_C06M2CD_subsam_bin.17	1922	1579	270	family	0.84	0.69	0.24	0.05	0.11	0.6	0.42	True
ALL_dreped_individual_C06M3OP_subsam_bin.18	2173	2035	109	family	0.92	0.86	0.1	0.24	0.67	0.66	0.56	True
ALL_dreped_individual_C10F3CR_subsam_bin.33	4104	3819	179	order	0.92	0.85	0.1	0.04	0.08	0.67	0.57	True
ALL_dreped_individual_C12F2HR_subsam_bin.26	2213	2107	33	genus	0.94	0.89	0.12	0.08	0.18	0.72	0.64	True
